Unnamed: 0,Review_Date,Author,Rating,Review_Title,Review
0,2-Nov-20,eagandersongil,7," More mature, less funny
","""Borat 2"" is a film much more mature and aware of what it wants to do than its predecessor, we even have a very well constructed social criticism, with characters who suffer from ailments and have doubts about their development and personality, everything is very well explored behind a curtain of a black, slapstick and absurd mood but that still works very well, it works out that ""Borat 1"" is funnier, but the sequence has its moments."
1,23-Oct-20,cartsghammond,," He's back
","Borat is back, with this subsequent moviefilm.
This will be compared to the original to no end, but with borat being a cultural icon in America, this one was bound to be very different."
2,24-Oct-20,Top_Dawg_Critic,8," Balls of steel? A'naicccce! High-five ✋
","He must have, getting hammered in the High Striker by a strongman and surviving. In usual Borat fashion, his Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan, was a'naicccce. High-five ✋"
3,29-Oct-20,MissCzarChasm,10," Borat Make a Number 2
",Borat Make a *Glorious* #2! Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan is very naiiice!
4,23-Oct-20,FixedYourEnding,4," I was excite, but now I am dissapoint
","Who doesn't love Borat Sagdiyev; the clueless foreign reporter from Kazakhstan? definitely not me. I love Borat. I also am a BIG fan of Sacha Baron-Cohen, he is a wonderfully nice person and witty, not to say genius, comedian. This is why it is heart-breaking for me to tell you the stone cold truth: this Subsequent moviefilm is one of his worst works, it's even worse than The Dictator that held that title up to this point."
5,27-Oct-20,Her-Excellency,10," A Must-Watch!
","The Giuliani portion alone, makes this a must-watch. Can this administration get any CREEPIER? Why yes, it can!"
6,23-Oct-20,schroederagustavo,4," Pretty disappointing
","I can't deny I laughed pretty hard about 2 times and chuckled like 3 times, but most of the movie was a flatliner for me. I am a big fan of the first movie and I think where this one falls apart for me is that it focuses too much on current events (that the movie will probably be irrelevant in a few years), focuses way too much on politics and on the plot with Borat's daughter. Many people are praising her performance here. I think she's fine, but I don't think the script is anything special here and it doesn't help the actors. The scenes I enjoyed the most are those with Borat doing his thing by himself, but a lot of it felt to me like attempting to recreate the mood of the original."
7,24-Oct-20,diegosays,10," This movie DESERVES the bad reviews!!
","If you love Borat, you will understand that the bad reviews are the best reviews. Sacha Baron Cohen threw a bomb in our actual society... And I LOVED IT.
Every sensitive issue that exists today, Cohen broke it with nothing more than the truth that is so much being concealed.
Even if the scenes are fake, he talked about subjects that no one really wanted to talk, and that's why this movie is going to get controversial and some people will obviously hate it. But that was its objective and it means Sacha Baron Cohen did an amazing job.
I would write a longer review about this incredible movie, but it's about those who see it that will know this movie is indisputably amazing."
8,23-Oct-20,efd-10467,7," Hello America !
","What a violent on American culture, the debutantes ball and their dance was great."
9,27-Oct-20,WindsOfWintergreen,," Cohen is a genius
","For those saying Giuliani was just tucking in his shirt, why lay down on a bed to do so instead of STANDING UP? And that, folks, is part of the genius of this film: that is shows you, live on video what's going on, and lets those who want to continue to lie to themselves, to continue to do so, while being laughed at by others. Don't miss it."
10,23-Oct-20,djkaine,8," I mean...
","It's Borat. Crude, offensive, and fun. It will probably get a bunch of 1's from the poli-cry-babies who claim they aren't judging it based on the fact that it goes against their values, but they are. It's a stupid comedy and it was entertaining. If you don't like stupid comedies then this just isn't for you."
11,23-Oct-20,TheAll-SeeingI,10," Great Success! It Trumps the Original
","Arriving with the urgency of a crossroads election or critical vaccine, the eviscerating ""Borat Subsequent Moviefilm"" calls satire from its culture-cancelled tomb, as Sacha Baron Cohen's iconic Kazakhstani journalist returns to drop the pants on America's mutated lunacies."
12,23-Oct-20,McScared,9," Yes, there ARE English subtitles on Prime
","IMPORTANT before you begin the MovieFilm go to the subtitles and:
1) Turn on
2) switch to English"
13,23-Oct-20,m56drid,6," Jagshemash!
","Not as good as the first one (it doesn't even come close), but still very funny at times. The actress who plays the daughter could be the next big thing, she is fantastic in her role."
14,26-Oct-20,ChaCha44,8," Maria Bakalova, a star is born
","Don't see this if you don't want to be entertained or experience cringe worthy moments but especially don't see this if you don't want to see a true breakout star in the hysterical and lovely, Maria Bakalova who reminds me of a young Tracy Ullman. She is amazing."
15,28-Oct-20,jonahhenry-89032,6," Very NIIICE, but a little disappointing
","This is a very funny movie, but I don't think it lives up to the first one. I really like how Borat's relationship with his daughter grows though."
