Name,Date,Rating,Review
"
                    
                        
                            
                                DarkLol 
                            
                        
                    
                    
                ","Oct 20, 2023",0,"
                        this is the funniest movie you will ever see, trust me. ive been cackling for the past hour its fing hilarious.
                    "
"
                    
                        
                            
                                Julio Medina 
                            
                        
                    
                    
                ","Oct 2, 2023",0,"
                        This movies, has changed the way i see my life. I've loved every camera angle, every joke, I love the combat the animations are amazing, this movie is awesome, i Love it
                    "
"
                    
                        
                            
                                StephenPaul C
                            
                        
                    
                    
                ","Aug 28, 2023",0,"
                        LOL, the funniest 01 hour: and 36 minutes ever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
                    "
"
                    
                        
                            
                                J D M
                            
                        
                    
                    
                ","Jul 13, 2023",0,"
                        I find it disgusting and so sophomoric, it's difficult to see how anyone can find it humorous.
                    "
"
                    
                        
                            
                                Davide l
                            
                        
                    
                    
                ","Jul 8, 2023",0,"
                        Took 3 hours to watch, sort of, couldn't stop laughing, tears streaming down my eyes and glasses falling off, all the time... lol a keeper, for sure!
                    "
"
                    
                        
                            
                                Gareth v
                            
                        
                    
                    
                ","Jun 23, 2023",0,"
                        Enjoyable movie. Lacks the shock factor of the original but has enough laughs to make this an enjoyable ride. Effective in shining a light on the mess that is the partisanship of American politics and to a degree it's culture in the present day.
                    "
"
                    
                        
                            
                                warpath1854 
                            
                        
                    
                    
                ","Jun 17, 2023",0,"
                        Not as great as the original, but still pretty funny with some decent political commentary. So I give it a ‘pretty good' movie rating, as you can never really go wrong with a Sacha Baron Cohen film.
                    "
"
                    
                        
                            
                                Isabelle 
                            
                        
                    
                    
                ","May 22, 2023",0,"
                        Less coherent than the first one, this is still a nice stunt to pull off.
                    "
"
                    
                        
                            
                                Keith 
                            
                        
                    
                    
                ","Apr 25, 2023",0,"
                        While overall, this movie was a fun time it sometimes felt as if it spent more time pushing is political agenda rather then the classic Borat comedy. Standalone I would recommend this movie although compared to the first subsequent movie film does not live up to par. Definitely a very different movie that has its own feel and merit but lacks the formula that made the original so good.
                    "
"
                    
                        
                            
                                Connor A
                            
                        
                    
                    
                ","Feb 23, 2023",0,"
                        Sacha Baron Cohen still proves he's a comedic genius as his hilarious Kazakh character Borat. It's great watching Cohen mess with Americans and showing how people will believe anything he shoves in their face. Maria Bakalova does a great job at keeping up with Cohen's humor. Borat 2 isn't as good as its predecessor but it's still a funny film and definitely worth a watch. If you didn't like it you're probably one of the American Trump supporters that this film makes fun of
                    "
"
                    
                        
                            
                                Some Guy F
                            
                        
                    
                    
                ","Feb 20, 2023",0,"
                        Way too much focus on the unnecessary storyline and far too little funny in the trolling people bits.
                    "
"
                    
                        
                            
                                Carl J
                            
                        
                    
                    
                ","Feb 20, 2023",0,"
                        This movie made me laughed so hard! The uniqueness of his foreign culture injected to what seems not normal to the U.S. was showcased so good! 
As always, sascha delivered new different pictures for comedy hunger audience which we truely deserve by the way this whole year round. 
I was just bumbed out that it took 14 years to make a sequel which i defined the #1 comedy documentary that has been ever made but i forgive sascha. Big thumbs up to this guy. Him and will ferrel, both comedy geniuses!
                    "
"
                    
                        
                            
                                Corey W
                            
                        
                    
                    
                ","Feb 15, 2023",0,"
                        Borat: Subsequent Moviefilm is, strangely, both important and depressing managing to be uproariously funny without being particularly fun.
                    "
"
                    
                        
                            
                                Thomas M
                            
                        
                    
                    
                ","Nov 27, 2022",0,"
                        The best acting performance from Maria Bakalova!
                    "
"
                    
                        
                            
                                IVIR 8
                            
                        
                    
                    
                ","Oct 6, 2022",0,"
                        Finally got around to checking this out. It made me cringe and laugh way too much. Sasha Baren & Maria Bakalova definitely deserved the awards they got for this film.
                    "
"
                    
                        
                            
                                A J
                            
                        
                    
                    
                ","Sep 17, 2022",0,"
                        Give Borat a plane ticket and he flies for the day, but push him out of the plane at 3,000 feet and he'll fly for the rest of his life... Do Borat a favour, and quickly 👎
                    "
"
                    
                        
                            
                                libby f
                            
                        
                    
                    
                ","Aug 20, 2022",0,"
                        Actually better than the first film, simply for the addition of his adorable daughter. There was at least a little less toilet humour too, which was so damned crude in the first movie. 

I've read that Sacha Cohen deliberately made this movie as a warning. He included extremist political views in order to show how dangerous they are, and how bad it would be if Trump got elected the second time. He says so himself, then ends the movie with the message that people should vote. But it's still very crude, and again I feel that even though it's meant to be sarcastic, the people who really have these racist, sexist, and homophobic attitudes probably enjoy the hell out of seeing themselves getting attention like this.
                    "
"
                    
                        
                            
                                david b
                            
                        
                    
                    
                ","Jul 30, 2022",0,"
                        Not as good as the first movie, and too many not funny Trump jokes... we get it that you don't like Trump at least be funny about it.
                    "
"
                    
                    
                ","Jul 22, 2022",0,"
                        I love the Borat character and was curious how they could follow up the hugely successful first one.  In this one Borat is tasked by his government to bring a gift mod a famous monkey to Vice President Mike Pence, however things go awry when his teenage daughter escapes her cage and stows away with the monkey.  Smart idea to use the daughter character to integrate with the unsuspecting marks in the awkward situations with real people and putting Borat in disguise due to people recognizing him.  
Not nearly as side splittingly funny as the original but a fun follow up.
                    "
